LocusID;stratum;Braker;Maker 1;Maker 2;Maker 3
AT1G67865;Arabidopsis;1;0;1;0
AT5G08760;Arabidopsis;1;1;1;1
AT3G01319;Arabidopsis thaliana;0;0;0;0
AT1G66240;Arabidopsis thaliana;1;1;1;1
AT4G30097;Arabidopsis thaliana;0;0;0;0
AT1G67860;Arabidopsis;1;0;0;0
AT1G51402;Arabidopsis thaliana;0;0;0;0
AT5G23411;Arabidopsis thaliana;1;1;0;0
AT2G14890;Arabidopsis;1;1;1;0
AT2G30766;Arabidopsis thaliana;0;0;0;0
AT2G30766;Arabidopsis thaliana;0;0;0;0
AT5G64130;Arabidopsis thaliana;1;1;1;1
AT5G27889;Arabidopsis thaliana;1;0;0;0
AT2G16586;Arabidopsis thaliana;1;0;1;0
AT5G21020;Arabidopsis thaliana;1;1;0;0
AT5G35480;Arabidopsis;0;0;0;0
AT1G24880;Arabidopsis thaliana;1;1;1;1
AT1G24880;Arabidopsis thaliana;1;1;1;1
AT1G22885;Arabidopsis;1;0;1;0
AT1G22885;Arabidopsis;1;0;1;0
AT3G47836;Arabidopsis thaliana;0;1;1;1
AT3G47836;Arabidopsis thaliana;0;1;1;1
AT3G01472;Arabidopsis thaliana;0;0;0;0
AT4G34881;Arabidopsis thaliana;0;0;1;0
AT3G62400;Arabidopsis thaliana;1;1;0;0
AT3G62400;Arabidopsis thaliana;1;1;0;0
AT2G41650;Arabidopsis thaliana;1;0;0;0
AT1G36732;Arabidopsis;1;1;1;1
AT4G07825;Arabidopsis thaliana;1;0;1;0
AT4G32240;Arabidopsis thaliana;1;1;1;0
AT5G01015;Arabidopsis thaliana;0;0;1;1
AT4G33310;Arabidopsis thaliana;1;0;0;0
AT3G53668;Arabidopsis;0;0;0;1
AT4G11211;Arabidopsis thaliana;0;0;0;0
AT3G50550;Arabidopsis thaliana;1;1;0;0
AT3G17998;Arabidopsis thaliana;0;0;0;0
AT1G02710;Arabidopsis;1;0;0;1
AT1G52905;Arabidopsis thaliana;0;0;0;0
AT4G36988;Arabidopsis thaliana;0;0;1;1
AT5G49440;Arabidopsis;1;0;0;0
AT1G29465;Arabidopsis thaliana;0;0;1;0
AT2G43018;Arabidopsis thaliana;0;0;0;0
AT3G44430;Arabidopsis thaliana;1;0;1;0
AT5G01712;Arabidopsis thaliana;0;0;0;0
AT5G04238;Arabidopsis thaliana;0;0;0;0
AT2G14460;Arabidopsis thaliana;1;0;0;0
AT1G64142;Arabidopsis thaliana;0;0;0;0
AT2G07774;Arabidopsis thaliana;1;1;1;1
AT1G72645;Arabidopsis;0;0;0;0
AT2G04380;Arabidopsis thaliana;1;1;0;0
AT1G55675;Arabidopsis;0;0;1;0
AT2G32487;Arabidopsis thaliana;0;1;0;0
AT1G16858;Arabidopsis thaliana;1;0;1;0
AT3G60647;Arabidopsis thaliana;0;0;0;0
AT1G47395;Arabidopsis;0;0;1;0
AT3G27906;Arabidopsis;1;1;1;0
AT5G42825;Arabidopsis;1;0;1;0
AT2G34655;Arabidopsis thaliana;0;0;1;0
AT1G68945;Arabidopsis thaliana;0;0;1;0
AT4G37483;Arabidopsis thaliana;0;0;0;0
AT5G53588;Arabidopsis thaliana;0;0;1;1
AT5G64552;Arabidopsis;0;1;1;0
AT1G35516;Arabidopsis thaliana;1;0;0;0
AT5G64343;Arabidopsis thaliana;0;0;0;0
AT4G36515;Arabidopsis thaliana;0;0;1;0
AT5G03710;Arabidopsis thaliana;1;0;1;0
AT1G79170;Arabidopsis thaliana;1;0;0;0
AT5G50665;Arabidopsis thaliana;1;0;1;0
AT1G10990;Arabidopsis thaliana;1;1;1;0
AT1G10990;Arabidopsis thaliana;1;1;1;0
AT4G22592;Arabidopsis thaliana;0;0;0;0
AT4G13575;Arabidopsis thaliana;1;1;1;0
AT3G03020;Arabidopsis thaliana;0;1;1;0
AT3G03020;Arabidopsis thaliana;0;1;1;0
AT5G65580;Arabidopsis thaliana;1;0;0;0
AT1G53625;Arabidopsis;1;0;1;0
AT5G26622;Arabidopsis;1;0;1;0
AT5G26622;Arabidopsis;1;0;1;0
AT3G53370;Arabidopsis thaliana;1;1;0;1
AT4G04925;Arabidopsis thaliana;1;0;0;0
AT3G47965;Arabidopsis thaliana;0;1;1;0
AT4G26290;Arabidopsis thaliana;0;0;0;0
AT1G55152;Arabidopsis;0;0;1;0
AT3G45242;Arabidopsis thaliana;0;0;1;0
AT1G31835;Arabidopsis thaliana;0;0;0;0
AT4G14622;Arabidopsis;0;0;0;0
AT1G53785;Arabidopsis thaliana;1;0;0;0
AT1G47400;Arabidopsis;0;1;1;1
AT5G23460;Arabidopsis thaliana;0;0;1;0
AT5G49448;Arabidopsis thaliana;0;0;1;0
AT1G53887;Arabidopsis thaliana;0;0;0;0
AT1G49032;Arabidopsis;0;0;1;0
AT5G09445;Arabidopsis thaliana;0;0;0;0
AT1G33102;Arabidopsis thaliana;1;0;0;0
AT2G23985;Arabidopsis thaliana;0;1;1;0
AT2G23985;Arabidopsis thaliana;0;1;1;0
AT1G48598;Arabidopsis thaliana;0;0;0;0
AT2G07719;Arabidopsis thaliana;0;0;0;0
AT3G06870;Arabidopsis thaliana;0;0;0;0
AT1G52710;Arabidopsis thaliana;1;1;1;0
AT5G55790;Arabidopsis;1;0;0;0
AT2G36030;Arabidopsis thaliana;0;1;0;1
AT5G46115;Arabidopsis;1;1;1;1
AT3G13433;Arabidopsis thaliana;0;1;1;1
AT1G45165;Arabidopsis thaliana;1;0;1;0
AT3G13404;Arabidopsis thaliana;0;0;0;0
AT5G66052;Arabidopsis thaliana;1;0;0;0
AT2G41780;Arabidopsis;1;0;1;0
AT2G41780;Arabidopsis;1;0;1;0
AT4G35430;Arabidopsis thaliana;0;0;0;0
AT2G31141;Arabidopsis thaliana;0;0;1;0
AT2G31141;Arabidopsis thaliana;0;0;1;0
AT1G15885;Arabidopsis thaliana;1;1;1;0
AT4G03443;Arabidopsis thaliana;1;0;0;0
AT3G14981;Arabidopsis thaliana;0;0;0;0
AT4G38330;Arabidopsis thaliana;1;1;1;1
AT1G58235;Arabidopsis thaliana;1;0;1;0
AT5G08185;Arabidopsis thaliana;0;1;1;0
AT5G08185;Arabidopsis thaliana;0;1;1;0
AT5G08185;Arabidopsis thaliana;0;1;1;0
AT5G08185;Arabidopsis thaliana;0;1;1;0
AT4G01915;Arabidopsis thaliana;1;1;1;1
AT4G01915;Arabidopsis thaliana;1;1;1;1
AT4G01915;Arabidopsis thaliana;1;1;1;1
AT1G30757;Arabidopsis thaliana;1;0;0;0
AT2G25964;Arabidopsis thaliana;0;0;1;0
AT1G08165;Arabidopsis thaliana;0;1;1;0
AT1G03200;Arabidopsis thaliana;0;0;1;0
AT3G54363;Arabidopsis;0;0;0;0
AT3G30720;Arabidopsis thaliana;1;1;1;0
AT3G48185;Arabidopsis;0;1;1;1
AT1G50290;Arabidopsis;0;0;1;0
AT5G49640;Arabidopsis thaliana;1;0;1;0
AT5G06190;Arabidopsis thaliana;1;1;1;1
AT5G06190;Arabidopsis thaliana;1;1;1;1
AT1G19396;Arabidopsis thaliana;1;0;0;0
AT1G19396;Arabidopsis thaliana;1;0;0;0
AT3G10930;Arabidopsis thaliana;1;1;1;1
AT1G29355;Arabidopsis;1;0;0;0
AT5G11416;Arabidopsis;0;0;0;0
AT2G35345;Arabidopsis thaliana;1;0;1;0
AT5G10946;Arabidopsis;0;1;0;0
AT3G11745;Arabidopsis;1;1;1;0
AT2G13660;Arabidopsis thaliana;1;0;1;0
AT3G04181;Arabidopsis thaliana;1;1;1;0
AT3G24929;Arabidopsis thaliana;1;0;0;0
AT3G24929;Arabidopsis thaliana;1;0;0;0
AT5G02690;Arabidopsis thaliana;1;0;0;0
AT4G39930;Arabidopsis thaliana;0;0;1;0
AT4G39930;Arabidopsis thaliana;0;0;1;0
AT3G45443;Arabidopsis;1;0;1;0
AT5G22608;Arabidopsis thaliana;0;1;1;0
AT5G22608;Arabidopsis thaliana;0;1;1;0
AT5G22608;Arabidopsis thaliana;0;1;1;0
AT5G67245;Arabidopsis;0;1;0;0
AT2G13550;Arabidopsis thaliana;1;0;1;0
AT1G68862;Arabidopsis thaliana;0;0;1;0
AT3G41762;Arabidopsis thaliana;1;0;1;0
AT2G01008;Arabidopsis thaliana;1;0;1;0
AT1G52618;Arabidopsis;1;0;0;0
AT2G33175;Arabidopsis;1;0;0;0
AT4G15150;Arabidopsis thaliana;1;0;1;0
AT3G02240;Arabidopsis;0;1;1;0
AT1G02350;Arabidopsis thaliana;1;0;0;0
AT2G05632;Arabidopsis thaliana;0;0;1;0
AT1G29418;Arabidopsis thaliana;0;0;1;0
AT1G19397;Arabidopsis;0;0;1;0
AT5G66658;Arabidopsis;1;0;1;0
AT1G13609;Arabidopsis thaliana;1;1;1;1
AT4G08874;Arabidopsis;1;0;0;0
AT2G10931;Arabidopsis thaliana;1;0;0;0
AT2G07779;Arabidopsis;1;0;1;0
AT2G18970;Arabidopsis thaliana;0;0;0;0
AT5G01445;Arabidopsis;1;1;1;0
AT1G16025;Arabidopsis thaliana;1;0;0;0
AT4G20690;Arabidopsis thaliana;1;0;0;0
AT1G58150;Arabidopsis thaliana;1;1;0;0
AT3G47100;Arabidopsis thaliana;1;0;1;0
AT5G03995;Arabidopsis;0;0;1;0
AT1G64561;Arabidopsis thaliana;1;0;1;0
AT4G24600;Arabidopsis;1;0;1;0
AT1G35320;Arabidopsis thaliana;1;0;1;0
AT3G58540;Arabidopsis thaliana;1;0;0;0
AT1G77880;Arabidopsis thaliana;0;0;1;0
AT1G62240;Arabidopsis thaliana;1;0;1;0
AT5G26270;Arabidopsis;1;0;1;0
AT3G61898;Arabidopsis thaliana;0;1;0;0
AT3G62499;Arabidopsis thaliana;0;0;1;0
AT1G04778;Arabidopsis thaliana;1;1;1;1
AT3G18282;Arabidopsis thaliana;1;1;1;0
AT5G03130;Arabidopsis thaliana;1;1;1;1
AT3G10912;Arabidopsis thaliana;0;0;0;0
AT3G60286;Arabidopsis thaliana;0;0;1;0
AT1G09176;Arabidopsis;0;0;0;0
AT2G07669;Arabidopsis;1;0;1;0
AT1G73602;Arabidopsis thaliana;0;0;0;0
AT2G18938;Arabidopsis thaliana;0;0;0;0
AT2G05510;Arabidopsis thaliana;1;1;1;0
AT3G55910;Arabidopsis;1;0;1;0
AT1G62333;Arabidopsis thaliana;1;0;0;0
AT2G14800;Arabidopsis thaliana;1;1;1;1
AT3G59370;Arabidopsis thaliana;1;1;1;0
AT2G05185;Arabidopsis thaliana;1;1;1;1
AT2G05185;Arabidopsis thaliana;1;1;1;1
AT2G40711;Arabidopsis thaliana;0;0;0;0
AT2G07835;Arabidopsis thaliana;1;0;1;0
AT4G20470;Arabidopsis thaliana;0;0;0;0
AT3G26235;Arabidopsis;1;0;1;0
AT2G07776;Arabidopsis;1;1;1;1
AT2G07798;Arabidopsis thaliana;1;0;1;0
AT3G09162;Arabidopsis thaliana;0;1;1;0
AT2G27390;Arabidopsis thaliana;1;1;0;1
AT1G67148;Arabidopsis thaliana;0;0;1;0
AT3G02390;Arabidopsis thaliana;0;1;1;0
AT3G02390;Arabidopsis thaliana;0;1;1;0
